iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor	gene
ENST00000598381.5	ENST00000593551.1	0.168421618935678	0.176198715497863	[1,3.3846]	(3.3846,4]	3.38464949087176	1.36636894331305	0.888888888888889	1.0	-0.596485178163629	1.5392401857134	0.0142366114592624	0.0011630998056313	3	1	0.888888888888889	2.13572536387703	-0.65231446990546	7594
ENST00000609040.5	ENST00000429242.7	0.0801341146808277	0.0247169241272568	[1,3.645]	(3.645,4]	3.64499119301165	1.10183869813633	0.888888888888889	1.0	3.38171341406782	-0.813309046717746	0.0093696803662604	0.0367699435991134	3	1	0.888888888888889	4.19502246078556	-0.174919721533071	54815
ENST00000600239.5	ENST00000597280.5	0.0168086527663208	0.0653392415407867	[1,3.8111]	(3.8111,4]	3.81112669922952	1.40499461729894	0.888888888888889	1.0	-4.11691693934806	1.13665201358142	0.002379256871478	0.019629720488393	3	1	0.888888888888889	5.25356895292948	-0.883523829364273	n
ENST00000676577.1	ENST00000254322.3	0.228364453492139	0.504286813936643	[1,3.5276]	(3.5276,4]	3.52760538881694	18.4099418859126	0.888888888888889	1.0	-27.521641220584	19.5409736717935	0.0031063686929989	0.0454597555623341	3	1	0.888888888888889	47.0626148923775	-0.920599108337166	3337
ENST00000644728.1	ENST00000589369.2	0.0900856491571804	0.0440525845194162	[1,3.6107]	(3.6107,4]	3.61066951600674	2.74097334392802	0.888888888888889	1.0	4.33575746772593	-3.0886675695627	0.003318072131031	0.0456354976961047	3	1	0.888888888888889	7.42442503728863	-0.333213084847803	8943
ENST00000573216.5	ENST00000614867.2	0.0679614932299304	0.0254308857870589	[1,3.5947]	(3.5947,4]	3.59472224313923	21.9013689433799	0.888888888888889	1.0	36.7829912947371	-29.3676275098626	0.0045836965793721	0.0238678282980005	3	1	0.888888888888889	66.1506188045998	-0.697162515178392	682
ENST00000590258.2	ENST00000591823.5	0.0112636283458525	0.0182411250264214	[1,3.5965]	(3.5965,4]	3.59649349382359	1.23548166406091	0.888888888888889	1.0	-1.19453459288293	1.10285676760446	0.0037900424903315	0.0060946392618337	3	1	0.888888888888889	2.29739136048738	-0.28975410095736	25941
ENST00000436190.6	ENST00000538170.6	0.0701194744118708	0.113648465428719	[1,3.5848]	(3.5848,4]	3.58482148213987	1.76407266695231	0.888888888888889	1.0	-1.79174056564511	1.55163269694943	0.0052012054307738	0.0492588337951385	3	1	0.888888888888889	3.34337326259454	-0.497417466039207	10982
ENST00000582585.1	ENST00000577410.2	0.0043094093225283	0.0272624103455177	[1,3.8886]	(3.8886,4]	3.88864630863463	0.457682409618403	0.888888888888889	1.0	-2.43544935006182	0.261395365849838	0.0092378673308984	0.0133310086642647	3	1	0.888888888888889	2.69684471591166	-0.52557587865686	n
ENST00000403172.8	ENST00000329875.13	0.0588269666096984	0.07741354857787	[1,3.6044]	(3.6044,4]	3.6044189461376	7.01367784868069	0.888888888888889	1.0	-4.16764547006682	4.49350999499587	0.0029864588276598	0.0418305823264299	3	1	0.888888888888889	8.66115546506269	-0.329737781572086	5831
ENST00000589425.5	ENST00000586355.1	0.124937462567767	0.179790966344746	[1,1.6447]	(1.6447,4]	1.64465058167779	2.083243442629	1.0	0.888888888888889	1.59794941160101	-1.42182730204397	0.0334786842062668	0.0007089909116264	1	3	0.888888888888889	3.01977671364498	-0.127970145614787	9489
ENST00000583877.5	ENST00000579838.1	0.0183800526296161	0.0103660487433672	[1,1.8555]	(1.8555,4]	1.85545249320989	0.765047928321534	1.0	0.888888888888889	4.24283065520078	-0.700365283653318	0.0143377523739856	0.0215627094207244	1	3	0.888888888888889	4.9431959388541	-0.343994579608868	79902
ENST00000583877.5	ENST00000580879.5	0.0183800526296161	0.0188116657640292	[1,1.8924]	(1.8924,4]	1.89239216374048	0.602872805900187	1.0	0.888888888888889	3.77415889562558	-1.29650236308176	0.02757680812984	0.0016218562711176	1	3	0.888888888888889	5.07066125870733	-0.366040369926712	79902
ENST00000392627.7	ENST00000582473.2	0.0622336972960477	0.0937399153521549	[1,3.3087]	(3.3087,4]	3.30868398300146	4.73816639048659	0.888888888888889	1.0	-3.56423053239774	4.66945579010225	0.0119328619632749	0.0092770534474541	3	1	0.888888888888889	8.23368632249999	-0.337816655033146	55890
ENST00000322157.9	ENST00000678909.1	0.0377864104241729	0.0178886584667001	[1,3.7166]	(3.7166,4]	3.7165648425574	1.59585488145592	0.888888888888889	1.0	2.13781556337835	-0.942183230652682	0.0042035847611825	0.0133264785982521	3	1	0.888888888888889	3.07999879403103	-0.231390314843499	9520
ENST00000420567.7	ENST00000589828.1	0.0253329999968158	0.0020728443719303	[1,3.9713]	(3.9713,4]	3.97127425842685	0.339930786855333	0.888888888888889	1.0	2.86818111564811	-0.0904690130606527	0.0150285047539967	0.0333218218955268	3	1	0.888888888888889	2.95865012870876	-0.456995897332264	10493
ENST00000253788.12	ENST00000589913.6	0.0297653234978574	0.034021000994376	[1,3.4469]	(3.4469,4]	3.44691956661811	54.6386925105053	0.888888888888889	1.0	-23.3254860106026	36.8849101788698	0.0005196870894351	0.0291414457105019	3	1	0.888888888888889	60.2103961894724	-0.0693902088681092	6155
ENST00000450475.5	ENST00000430739.5	0.0605682427955791	0.110519362938646	[1,3.4196]	(3.4196,4]	3.41961988293837	3.18432088272799	0.888888888888889	1.0	-4.29279371392316	5.3365455906469	0.0132318408753037	0.0205905471943281	3	1	0.888888888888889	9.62933930457006	-0.674727037020027	80755
ENST00000309156.9	ENST00000445327.6	0.165296700112524	0.0498247582038155	[1,3.7511]	(3.7511,4]	3.75108245095865	1.14519141915711	0.888888888888889	1.0	2.35262557696451	-1.20723347396365	0.0055524745866008	0.0328074773482153	3	1	0.888888888888889	3.55985905092816	-0.544468800868211	2886
ENST00000269033.7	ENST00000590153.1	0.174085844679984	0.245923240606362	[1,3.4493]	(3.4493,4]	3.44932005657617	2.97901221355352	0.888888888888889	1.0	-2.4124117465744	2.82326674088353	0.0017585952534863	0.0273515926191568	3	1	0.888888888888889	5.23567848745793	-0.541746470409588	85464
ENST00000301039.6	ENST00000682792.1	0.154402171086749	0.117967585992324	[1,3.1018]	(3.1018,4]	3.10177579434531	0.923346710366466	0.888888888888889	1.0	0.824553876363701	-1.60166810801873	0.035825703661352	0.0094358741451353	3	1	0.888888888888889	2.42622198438243	-0.892242935496957	n
ENST00000672709.1	ENST00000672591.1	0.0128763112289676	0.0244662954580423	[1,3.6027]	(3.6027,4]	3.60266859202586	1.15035610662217	0.111111111111111	0.0	-1.25989466748707	0.810158969297	0.0155530283921388	0.0293537981632777	3	1	0.888888888888889	2.07005363678407	-0.820635902400657	n
ENST00000389301.8	ENST00000568369.5	0.16120515262508	0.132485158561525	[1,3.6618]	(3.6618,4]	3.66180316900529	3.97818575944737	0.888888888888889	1.0	1.45123649837423	-0.93030089117651	0.0039200352151349	0.0266521033970963	3	1	0.888888888888889	2.38153738955074	-0.419777084994351	2175
ENST00000562439.5	ENST00000564435.5	0.0934334984919764	0.163239068298956	[1,3.5021]	(3.5021,4]	3.50212941982242	2.12316049695368	0.888888888888889	1.0	-2.98257096327783	3.33787184392058	0.023881638749492	0.0175275193689663	3	1	0.888888888888889	6.3204428071984	-0.669224806649728	89970
ENST00000566866.5	ENST00000568426.1	0.450661916249371	0.411516036329879	[1,3.4053]	(3.4053,4]	3.40527554562447	83.8784083385684	0.888888888888889	1.0	26.7712223680987	-45.4059745059228	0.0025046749627552	0.0414377867675525	3	1	0.888888888888889	72.1771968740215	-0.137490399627556	8663
ENST00000622633.5	ENST00000571688.5	0.0364821325715512	0.0617249588376974	[1,3.3477]	(3.3477,4]	3.34767402172278	0.498750207477687	0.888888888888889	1.0	-0.84081975193813	1.2705863664369	0.0091842993143799	0.0030782481724472	3	1	0.888888888888889	2.11140611837503	-0.80084213018374	n
ENST00000565678.5	ENST00000565333.5	0.0200606086614419	0.0727442433203397	[1,3.0383]	(3.0383,4]	3.0383151448625	1.75708424193197	0.888888888888889	1.0	1.4313724527752	-25.8035860869878	0.0037148134703159	0.0395253359094398	3	1	0.888888888888889	27.234958539763	-0.328524013735338	10921
ENST00000559717.6	ENST00000561448.5	0.143458279277409	0.201236090386809	[1,3.3727]	(3.3727,4]	3.37265768739016	2.76081613823949	0.888888888888889	1.0	-1.63753502926599	0.968190112264647	0.0016529562063849	0.0021627093868224	3	1	0.888888888888889	2.60572514153063	-0.617164133924336	4122
ENST00000643268.1	ENST00000557917.5	0.200628950800758	0.310554388709909	[1,1.9305]	(1.9305,4]	1.93046902194956	2.05149091910374	1.0	0.888888888888889	1.86711028578624	-1.94585179080556	0.0304430394022269	0.0158032651411785	1	3	0.888888888888889	3.8129620765918	-0.506522923909504	10518
