iso1	iso2	iso1.mean.ratio	iso2.mean.ratio	before.interval	after.interval	x.value	y.value	before.prob	after.prob	before.diff	after.diff	before.pval	after.pval	before.t.points	after.t.points	prob	diff	cor
ENST00000407332.5	ENST00000402438.5	0.381780069168308	0.284824569895546	[1,3.5766]	(3.5766,4]	3.5765698873095	55.6650638710059	0.888888888888889	1	26.9104560750138	-18.2960838908814	0.00114858646604992	0.016811869211381	3	1	0.888888888888889	45.2065399658952	-0.704968598259221
ENST00000455784.7	ENST00000431124.5	0.319156908874172	0.260951315771496	[1,3.3821]	(3.3821,4]	3.38206307970071	1.2635277760121	0.888888888888889	1	1.09671387392762	-1.99745661053309	0.0254299102065631	0.0141590772513528	3	1	0.888888888888889	3.09417048446071	-0.276523023198972
ENST00000415061.8	ENST00000587721.1	0.448675646474767	0.333848339078086	[1,3.4961]	(3.4961,4]	3.49608498375484	2.7412104714515	0.888888888888889	1	1.65702353866444	-1.31205066772315	0.00688516629687012	0.00518189989913878	3	1	0.888888888888889	2.9690742063876	-0.502524500901818
ENST00000676577.1	ENST00000254322.3	0.228364453492139	0.504286813936643	[1,3.5276]	(3.5276,4]	3.52760538881694	18.4099418859126	0.888888888888889	1	-27.521641220584	19.5409736717935	0.00310636869299892	0.0454597555623341	3	1	0.888888888888889	47.0626148923775	-0.920599108337166
ENST00000591470.5	ENST00000588905.5	0.387144068440633	0.269339682065242	[1,3.5704]	(3.5704,4]	3.57041807154933	5.14856658354312	0.888888888888889	1	4.30308584104282	-2.95584690012639	0.00488267226587073	0.00904697500310001	3	1	0.888888888888889	7.25893274116921	0.362462928667934
ENST00000269033.7	ENST00000590153.1	0.174085844679984	0.245923240606362	[1,3.4493]	(3.4493,4]	3.44932005657617	2.97901221355352	0.888888888888889	1	-2.4124117465744	2.82326674088353	0.00175859525348637	0.0273515926191568	3	1	0.888888888888889	5.23567848745793	-0.541746470409588
ENST00000389301.8	ENST00000568369.5	0.16120515262508	0.132485158561525	[1,3.6618]	(3.6618,4]	3.66180316900529	3.97818575944737	0.888888888888889	1	1.45123649837423	-0.93030089117651	0.00392003521513496	0.0266521033970963	3	1	0.888888888888889	2.38153738955074	-0.419777084994351
ENST00000649683.1	ENST00000540303.7	0.504143137252046	0.495856862747954	[1,3.3374]	(3.3374,4]	3.33741884730291	4.49415998575091	0.888888888888889	1	-0.808463192561288	2.67078027938794	0.0230740219530788	0.0342680537161481	3	1	0.888888888888889	3.47924347194922	0.519077872460447
ENST00000566866.5	ENST00000568426.1	0.450661916249371	0.411516036329879	[1,3.4053]	(3.4053,4]	3.40527554562447	83.8784083385684	0.888888888888889	1	26.7712223680987	-45.4059745059228	0.00250467496275522	0.0414377867675525	3	1	0.888888888888889	72.1771968740215	-0.137490399627556
ENST00000643268.1	ENST00000557917.5	0.200628950800758	0.310554388709909	[1,1.9305]	(1.9305,4]	1.93046902194956	2.05149091910374	1	0.888888888888889	1.86711028578624	-1.94585179080556	0.0304430394022269	0.0158032651411785	1	3	0.888888888888889	3.8129620765918	-0.506522923909504
